IsolateID,SamplingPeriod,Assets,Locations,Hospitals,Date
6928661,Middle,07342,CC-D,W,27-Oct-2014
6928658,Middle,04238,CC-D,W,27-Oct-2014
6928656,Middle,04233,CC-D,W,27-Oct-2014
6928637,Middle,00392,CC-C,W,27-Oct-2014
6928742,Middle,00391,CC-C,W,27-Oct-2014
6928636,Middle,00391,CC-C,W,27-Oct-2014
6928741,Middle,00449,CC-C,W,27-Oct-2014
6928633,Middle,00449,CC-C,W,27-Oct-2014
6928629,Middle,00384,CC-C,W,27-Oct-2014
6928622,Middle,00387,CC-C,W,24-Oct-2014
6928620,Middle,00402,CC-C,W,24-Oct-2014
6928619,Middle,00401,CC-C,W,24-Oct-2014
6928618,Middle,00400,CC-C,W,24-Oct-2014
6928613,Middle,00399,CC-C,W,24-Oct-2014
6928612,Middle,00398,CC-C,W,24-Oct-2014
6928610,Middle,00396,CC-C,W,24-Oct-2014
6928603,Middle,00394,CC-C,W,24-Oct-2014
6928602,Middle,00395,CC-C,W,24-Oct-2014
6928599,Middle,00409,CC-C,W,24-Oct-2014
6928589,Middle,00404,CC-C,W,24-Oct-2014
6928586,Middle,00422,CC-B,W,23-Oct-2014
6928585,Middle,00423,CC-B,W,23-Oct-2014
6928584,Middle,00424,CC-B,W,23-Oct-2014
6928580,Middle,07312,CC-B,W,23-Oct-2014
6928576,Middle,00432,CC-B,W,23-Oct-2014
6928575,Middle,00433,CC-B,W,23-Oct-2014
6928574,Middle,00442,CC-B,W,23-Oct-2014
6928572,Middle,00436,CC-B,W,23-Oct-2014
6928570,Middle,00445,CC-B,W,23-Oct-2014
6928535,Middle,00461,CC-B,W,22-Oct-2014
6928527,Middle,00427,CC-B,W,22-Oct-2014
6928523,Middle,00455,CC-B,W,22-Oct-2014
6928521,Middle,00453,CC-B,W,22-Oct-2014
6928507,Middle,05924,CC-A,W,21-Oct-2014
6928505,Middle,05926,CC-A,W,21-Oct-2014
6928502,Middle,05920,CC-A,W,21-Oct-2014
6928501,Middle,05912,CC-A,W,21-Oct-2014
6928500,Middle,05914,CC-A,W,21-Oct-2014
6928497,Middle,05929,CC-A,W,21-Oct-2014
6928494,Middle,05931,CC-A,W,21-Oct-2014
6928487,Middle,05946,CC-A,W,21-Oct-2014
6928485,Middle,07306,CC-A,W,21-Oct-2014
6928467,Middle,05937,CC-A,W,20-Oct-2014
6928466,Middle,05958,CC-A,W,20-Oct-2014
6928463,Middle,05961,CC-A,W,20-Oct-2014
6928459,Middle,05967,CC-A,W,20-Oct-2014
6928458,Middle,05940,CC-A,W,20-Oct-2014
6928457,Middle,05942,CC-A,W,20-Oct-2014
6928456,Middle,05939,CC-A,W,20-Oct-2014
6928453,Middle,05938,CC-A,W,20-Oct-2014
6928452,Middle,05962,CC-A,W,20-Oct-2014
6928448,Middle,05943,CC-A,W,20-Oct-2014
6928446,Middle,05949,CC-A,W,20-Oct-2014
6928557,Middle,05948,CC-A,W,20-Oct-2014
6928445,Middle,05948,CC-A,W,20-Oct-2014
6928438,Beginning,B2W-GSOH,lhch-ITU,Z,17-Sep-2014
6928437,Beginning,B2W-ML58,lhch-ITU,Z,17-Sep-2014
6928436,Beginning,B2W-BQX5,lhch-ITU,Z,17-Sep-2014
6928435,Beginning,B2W-5XLK,lhch-ITU,Z,17-Sep-2014
6928434,Beginning,B2W-5X2M,lhch-ITU,Z,17-Sep-2014
6928433,Beginning,B2W-5X2M,lhch-ITU,Z,17-Sep-2014
6928432,Beginning,B2W-4H32,lhch-ITU,Z,17-Sep-2014
6928431,Beginning,B2W-4H32,lhch-ITU,Z,17-Sep-2014
6928430,Beginning,B2W-4H32,lhch-ITU,Z,17-Sep-2014
6928429,Beginning,B2W-2NT1,lhch-ITU,Z,17-Sep-2014
6928428,Beginning,B2W-J5PZ,lhch-ITU,Z,17-Sep-2014
6928427,Beginning,B2W-WD0DC,lhch-ITU,Z,17-Sep-2014
6928426,Beginning,B2W-WD0DC,lhch-ITU,Z,17-Sep-2014
6928425,Beginning,B2W-FSHH,lhch-ITU,Z,17-Sep-2014
6928424,Beginning,B2W-FGTK,lhch-ITU,Z,17-Sep-2014
6928423,Beginning,B2W-Q133,lhch-ITU,Z,17-Sep-2014
6928422,Beginning,B2W-Q133,lhch-ITU,Z,17-Sep-2014
6928421,Beginning,B2W-MV57,lhch-ITU,Z,17-Sep-2014
6928420,Beginning,B2W-MV57,lhch-ITU,Z,17-Sep-2014
6928419,Beginning,B2W-LFN7,lhch-ITU,Z,17-Sep-2014
6928418,Beginning,B2W-LFN7,lhch-ITU,Z,17-Sep-2014
6928417,Beginning,D6L-7FR5,rluh-ITU,Z,15-Sep-2014
6928416,Beginning,D6L-7FR5,rluh-ITU,Z,15-Sep-2014
6928415,Beginning,D6L-D72B,rluh-ITU,Z,15-Sep-2014
6928414,Beginning,D6L-D72B,rluh-ITU,Z,15-Sep-2014
6928413,Beginning,D6L-HN7T,rluh-ITU,Z,15-Sep-2014
6928412,Beginning,D6L-HN7T,rluh-ITU,Z,15-Sep-2014
6928411,Beginning,D6L-HN7T,rluh-ITU,Z,15-Sep-2014
6928410,Beginning,D6L-HN7T,rluh-ITU,Z,15-Sep-2014
6928409,Beginning,8B-102B,rluh-HDU,Z,18-Sep-2014
6928408,Beginning,8B-102A,rluh-HDU,Z,18-Sep-2014
6928407,Beginning,8B-101A,rluh-HDU,Z,18-Sep-2014
6928406,Beginning,8B-095B,rluh-HDU,Z,18-Sep-2014
6928405,Beginning,CBM-QKNL,rluh-HDU,Z,18-Sep-2014
6928404,Beginning,CBM-RS03,rluh-HDU,Z,18-Sep-2014
6928403,Beginning,CBM-NPPF,rluh-HDU,Z,18-Sep-2014
6928402,Beginning,CBM-SXW5,rluh-HDU,Z,18-Sep-2014
6928330,Beginning,S070-1-006,GHHITU,Y,03-Sep-2014
6928329,Beginning,S070-1-005,GHHITU,Y,03-Sep-2014
6928326,Beginning,S58.0.108,BHH3,Y,02-Sep-2014
6928328,Beginning,S58.0.110_Sink,BHH3,Y,02-Sep-2014
6928327,Beginning,S58.0.99,BHH3,Y,02-Sep-2014
6928325,Beginning,58.1.038_NursesWHB,4HDU,Y,01-Sep-2014
6928324,Beginning,58.1.038_CorridorWHB,4HDU,Y,01-Sep-2014
6928273,Beginning,12345,CC-B,W,03-Sep-2014
6928082,Beginning,04256,CC-D,W,30-Aug-2014
6928079,Beginning,07342,CC-D,W,30-Aug-2014
6928086,Beginning,04260,CC-D,W,30-Aug-2014
6928042,Beginning,04231,CC-D,W,30-Aug-2014
6928048,Beginning,04232,CC-D,W,30-Aug-2014
6928099,Beginning,04233,CC-D,W,30-Aug-2014
6928096,Beginning,04249,CC-D,W,30-Aug-2014
6928081,Beginning,04252,CC-D,W,30-Aug-2014
6928084,Beginning,04255,CC-D,W,30-Aug-2014
6928089,Beginning,04264,CC-D,W,30-Aug-2014
6928098,Beginning,04265,CC-D,W,30-Aug-2014
6928094,Beginning,04238,CC-D,W,30-Aug-2014
6928047,Beginning,07337,CC-D,W,30-Aug-2014
6928052,Beginning,04226,CC-D,W,30-Aug-2014
6928057,Beginning,04225,CC-D,W,30-Aug-2014
6928058,Beginning,04224,CC-D,W,30-Aug-2014
6928065,Beginning,04268,CC-D,W,30-Aug-2014
6928243,Beginning,05961,CC-A,W,30-Aug-2014
6928218,Beginning,05967,CC-A,W,30-Aug-2014
6928234,Beginning,07307,CC-A,W,30-Aug-2014
6928220,Beginning,05958,CC-A,W,30-Aug-2014
6928226,Beginning,05957,CC-A,W,30-Aug-2014
6928269,Beginning,05948,CC-A,W,30-Aug-2014
6928258,Beginning,05943,CC-A,W,30-Aug-2014
6928223,Beginning,05941,CC-A,W,30-Aug-2014
6928239,Beginning,05940,CC-A,W,30-Aug-2014
6928228,Beginning,05939,CC-A,W,30-Aug-2014
6928221,Beginning,05938,CC-A,W,30-Aug-2014
6928215,Beginning,05931,CC-A,W,30-Aug-2014
6928203,Beginning,05929,CC-A,W,30-Aug-2014
6928206,Beginning,05924,CC-A,W,30-Aug-2014
6928213,Beginning,05920,CC-A,W,30-Aug-2014
6928251,Beginning,05917,CC-A,W,30-Aug-2014
6928114,Beginning,00445,CC-B,W,30-Aug-2014
6928119,Beginning,00422,CC-B,W,30-Aug-2014
6928148,Beginning,00430,CC-B,W,30-Aug-2014
6928137,Beginning,00432,CC-B,W,30-Aug-2014
6928123,Beginning,00433,CC-B,W,30-Aug-2014
6928106,Beginning,00434,CC-B,W,30-Aug-2014
6928138,Beginning,00461,CC-B,W,30-Aug-2014
6928130,Beginning,00423,CC-B,W,30-Aug-2014
6928134,Beginning,00424,CC-B,W,30-Aug-2014
